S. No.,Dealer Name,Dealer Address,Location,State/Country,Contact Number,Contact Person,AI Dealer,API Dealer,
1,M/S VARUN GLASS AGENCIES,"55-5-37, 4th Lane, 2nd Cross, Autonagar, Krishna, Vijayawada, Andhra Pradesh - 520007",Vijayawada,Andhra Pradesh,(+91)-9440139142,,FALSE,TRUE,
2,M/S RADHIKA AUTO CENTRE,"1st Floor, Nazarana Complex, A.T.Road, Gate No-4, Guwahati - 781001",Guwahati,Assam,(+91)-9508013156,,TRUE,FALSE,
3,M/S SHYAM MARUTI SPARES,"A. T. Road, (Near Rly Gate No-7), Opp. G K Tower, Guwahati - 781009",Guwahati,Assam,(+91)-9435107603,,TRUE,TRUE,
4,M/S RELIANCE AUTOMOTIVE,"No. 25, Chinmoyee Complex, Takobari, Kali Mandir Road, AT Road, Guwahati - 781001",Guwahati,Assam,(+91)-9435102531,,TRUE,FALSE,
5,M/S MRV AUTOMATES,"Ground Floor, 1076836, Kamrup Rolling Mill Complex, A K Azad Road, Lokhra, Jyotikuchi, Guwahati, Metropolitan, Assam - 781034",Guwahati,Assam,(+91)-9101948910,,FALSE,TRUE,
6,M/S BAJRANG SALES CORPORATION - RAIPUR,"Khasra No.394, Sheet No.4, Nagar Nigam Colony, Beside, Hotel Convivial Stay, Behind SBI Bank, Agrasen Chowk, Raipur, Chhattisgarh - 492001",Raipur,Chhattisgarh,(+91)-9752715432,,TRUE,TRUE,
7,M/S SANJAY AUTO ENTERPRISES,"Shop No.- 3, Lal Ganga Chamber, Patwa Complex, M G Road, Raipur - 492001",Raipur,Chhattisgarh,(+91)-8889915818,,TRUE,TRUE,
8,M/S AMIDHARA AUTO PARTS,"5, Jalaram Estate, Near Railway Crossing, Sarkhej, Sanand Char Rasta, Ahmedabad - 380055",Ahmedabad,Gujarat,(+91)-9898067878,,TRUE,,
9,M/S ASIAN AUTO LINKS,"12, Shantisadan Extate, Opp Dinbai Tower, Mirzapur, Ahmedabad - 380009",Ahmedabad,Gujarat,(+91)-9974535299,,TRUE,FALSE,
10,M/S AUM MOTORS ( NAVSARI ),"Shop No 5, Pavan Apartment Nr, Kaliyawadi Jakat Naka Grid Road, Navsari - 396427",Navsari,Gujarat,(+91)-9099230305,,TRUE,FALSE,
11,M/S EKTA AUTO AGENCY,"7, Bakor Patel Chambers, Bhutdi Zampa, Baroda - 390001",Baroda,Gujarat,(+91)-9824466656,,TRUE,FALSE,,
12,M/S MEHTA AUTO SPARES,"17 B, Tulsi Estate, Near Canal, Opp. Hotel Bhagyodaya, Changodar, Ahmedabad - 382213",Sarkhej,Gujarat,(+91)-9638443844,,TRUE,TRUE,
13,M/S M N AUTO PARTS,"Satharia Bazar, Near Prime Bank, Next To Abbasi Hardware & Sanitary, Godhra - 389001",Godhra,Gujarat,(+91)-9512096887,,TRUE,FALSE,
14,M/S PARAS AUTO PARTS,"45, Shivm Estate, Nr Ujala Circle, SG High Way Road, Sarkhej, Ahmedabad - 380010",Sarkhej,Gujarat,(+91)-9426055099,,TRUE,FALSE,
15,M/S RUSHABH AUTO PARTS,"9/9 1st Floor, Khatodra Industrial Area, Behind Sub Jail, Surat - 395002",Surat,Gujarat,(+91)-9426055099,,TRUE,FALSE,
16,M/S SURANA AUTOMOBILES,"74, G.I.D.C. Khatodara, Behind Sub Jail, Khatodara, Surat - 395002",Surat,Gujarat,(+91)-9825464301,,TRUE,TRUE,
17,M/S VARDHMAN AUTO PARTS,"R.K. House, 16, Vijayplot, Godal Road, Rajkot - 360002",Rajkot,Gujarat,(+91)-9825606556,,TRUE,TRUE,
18,M/S VIPUL TRADERS,"E-13, Plot No 59, Mahalaxmi Industrial Estate, Phase I Kiran Industries, Vatva G.I.D.C, Ahmedabad - 382445",Ahmedabad,Gujarat,(+91)-9825683683,,TRUE,FALSE,
19,M/S GANESH MOTOR ACCESSORIES,"Shop No. 1, First Floor, Sneha Complex,, Mirzapur, Ahmedabad - 380001",Ahmedabad,Gujarat,(+91)-9924820266,,FALSE,TRUE,
20,M/S SHREE LAXMI AUTO AGENCY,"106, Bakor Patel Chambers, Near Karelibaug Police Station, Bhutdizampa, Baroda - 390001",Baroda,Gujarat,(+91)-9898663140,,FALSE,TRUE,
21,M/S S. J. SALES,"H No. 164, Ward No. 10, Near Balmiki Mandir, Old Faridabad - 121002",Old Faridabad,Haryana,(+91)-9212339926,,TRUE,FALSE,
22,M/S SURYA MOTOR CO.,"3/85 A, Shivaji Nagar, Gurgaon, Haryana -122001",Gurgaon,Haryana,(+91)-9971649715,,FALSE,TRUE,
23,M/S NARANG SYNDICATE,"65, Vikas Nagar, Hisar - 125001",Hisar,Haryana,(+91)-9416027960,,FALSE,TRUE,
24,M/S METRO ENTERPRISES,"Ew Arya Samaj Complex, Shop No.1, Roura Sector-2, Bilaspur, (H. P.) -174001",Bilaspur,Himachal Pradesh,(+91)-9857900068,,TRUE,TRUE,
25,M/S URBAN TRADING KART PRIVATE LIMITED,"First Floor, Shop No 1, Gulzar Shopping Complex, Baghi Nand Singh Batamaloo, Opposite Tattoo Ground, Srinagar - 190010",Srinagar,Jammu and Kashmir,(+91)-7006806645,,TRUE,TRUE,
26,M/S AQUA MOTORS,"Madina Chowk Gow Kadal, Srinagar, Kashmir - 190001",Srinagar,Jammu and Kashmir,(+91)-7006956825,,TRUE,TRUE,
27,M/S SAAVYA TRADING CO,"Shop No. 46, Yard No. 6, Transport Nagar, Narwal, Jammu - 180001",Jammu,Jammu and Kashmir,(+91)-9419112323,,FALSE,TRUE,
28,M/S SHREE GOPAL AGENCIES,"Laxmi Nagar, Near Khatal Ratu Road, Ranchi - 834005",Ranchi,Jharkhand,(+91)-9123105568,,TRUE,TRUE,
